GEOID,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
48029,1.617674805,0.300102372,83.1,21.5,44.9,-0.09253026,13.55465912,2794.270288,2525377.333,0,0,0.172472851,0.177656498,0.47058109,0.014419039,1.4419039
34029,1.725428755,0.094785363,134.1,56.4,40.2,-0.055120177,13.17776603,4390.751267,923091,0.052858585,0.015125943,0.268059549,0.158696725,0.33031767,0.014051771,1.4051771
51680,1.727570313,1.388861954,171.1,56.9,35.8,0.167717858,13.17156659,2223.076416,55782,0,0,0.314891582,0.096886757,0.304943857,0.009303478,0.9303478
13059,1.778912633,0.181320373,109.9,38.3,45.7,-0.073963231,13.14385186,2273.081916,185387.6667,0,0,0.239961372,0.100830476,0.299809255,0.007254011,0.7254011
06013,1.296070113,0.198512983,100.5,101.4,27,-0.244541719,13.06356186,3568.211362,1395204,0.023355052,0.121702986,0.287772321,0.205984616,0.326996738,0.019383278,1.9383278
39095,2.027845179,0.147403878,97,63.3,26.1,-0.129494516,13.05195345,2635.325361,583761.3333,0,0,0.269199378,0.113286921,0.302644632,0.009229683,0.9229683
47157,1.69513701,0.035159996,91.1,34.6,39.2,-0.163334804,13.02574434,2828.185552,1267240.333,0,0,0.1914553,0.134786822,0.316353975,0.00816372,0.816372
51590,2.09030052,0.761143806,198.7,52,46.9,0.004201456,13.02413718,2266.44318,25820.66667,0,0,0.363638653,0.095008302,0.309942849,0.01070812,1.070812
06081,1.70371084,0.009668961,77,105.5,42.1,-0.289641883,12.92516174,4393.797123,850051.6667,0.210031595,0.038530363,0.374663331,0.236321185,0.235445497,0.020846552,2.0846552
34027,1.788904763,0.061117611,101.2,54.6,33.7,-0.040481794,12.90341908,3556.112279,651835.6667,0,0,0.24016388,0.116063412,0.205414202,0.005725765,0.5725765
20091,1.681796232,0.433870957,162.3,52.2,29.6,-0.28649968,12.85696296,2612.082529,894127.3333,0,0,0.24260338,0.121577424,0.293306229,0.008651095,0.8651095
44003,2.068481699,0.555134144,134.4,47.1,51,-0.041463051,12.79147963,2724.631188,170249.6667,0.000970123,2.67E-06,0.330340864,0.099178652,0.262694071,0.008606583,0.8606583
51790,1.413952061,0.656354586,185.1,71.4,37.5,0.004759043,12.7607187,2267.315343,4636.666667,0,0,0.300624738,0.092521521,0.324360817,0.009021855,0.9021855
12031,1.332643186,0.337432817,112.4,65.8,65.9,-0.131615574,12.75900096,2755.41963,1220672,0.021644227,0.032520108,0.323210426,0.155841386,0.339196381,0.017085173,1.7085173
42017,1.85582938,-0.03403529,130.1,63.1,35.2,-0.067634257,12.75036747,2192.788445,915685,0.001822258,1.07E-05,0.279760514,0.121573406,0.302905038,0.010302236,1.0302236
06067,1.416999791,-2.202547721,12.4,59.3,28.4,-0.349909287,12.74626457,3341.231409,1920576.667,0.071107382,0.226934609,0.10148066,0.288937884,0.436043001,0.012785482,1.2785482
29095,1.803356326,0.178525012,85.7,49.7,30.5,-0.236333152,12.69063982,2600.807997,824122.3333,0,0,0.218855553,0.118218425,0.317814038,0.008222726,0.8222726
39153,2.108122691,-0.078672999,71.6,60.4,26.4,-0.161264264,12.47038291,2340.40794,581349.3333,0,0,0.256045546,0.10863853,0.279965075,0.007787624,0.7787624
25005,2.035496453,-0.082982156,118.5,41.9,43.3,-0.112187936,12.38317448,2567.398095,683517.3333,0.006725311,0,0.265810873,0.114677629,0.34478857,0.010510039,1.0510039
51640,1.826778106,0.007117585,72.8,52.3,44.1,-0.085670748,12.23836362,1978.312062,4136,0,0,0.259040253,0.08835435,0.30882575,0.007068198,0.7068198
48121,1.572147193,1.930843837,311.4,35.1,33.9,0.224615094,12.18219106,2384.023722,1685330.333,0,0,0.329338128,0.141171004,0.367248566,0.017074485,1.7074485
44005,2.080765972,-0.090978998,110.9,42.2,39.7,-0.109656462,12.13470662,2400.155895,64575.66667,0.00115366,8.02E-06,0.258574147,0.090817499,0.214967518,0.005048095,0.5048095
37063,1.489352191,0.706337135,188.1,67.2,43.6,-0.018061563,12.07997286,2355.903744,403839,0,0,0.316644292,0.100419078,0.294306773,0.00935811,0.935811
51620,1.622611117,-0.529242231,100.5,53.3,46.9,-0.164191393,12.05323794,2150.647727,5266.333333,0,0,0.239191131,0.087420331,0.279883695,0.005852415,0.5852415
40109,1.566234524,-0.099282944,67,48.5,31.6,-0.201221009,11.96113553,2283.01733,993855.3333,0,0,0.17765011,0.117874176,0.312009968,0.006533601,0.6533601
18089,1.75253928,0.575088508,130.5,65.7,26,-0.123101451,11.94910861,1786.250812,629832.3333,0,0,0.26937161,0.105523002,0.318118945,0.009042499,0.9042499
51107,1.788001232,0.123044531,122.2,64.5,32.5,-0.051252439,11.92161227,2476.55227,1041440.333,0,0,0.270192828,0.11943862,0.3037287,0.009801768,0.9801768
17089,1.917720921,-0.761633959,42.5,56.7,24.3,-0.257307714,11.91437802,2037.717434,987451.6667,0,0,0.189382228,0.116901779,0.340395941,0.007536066,0.7536066
12011,1.486365859,0.186600721,140.9,35.5,107.4,-0.170897392,11.88048516,8358.776596,2307762,0.187010842,0.060768574,0.391311245,0.281456126,0.430691954,0.047435097,4.7435097
41051,1.996632345,-0.266312845,84.3,99.7,34.6,-0.515182982,11.80024702,4597.572318,726816.3333,0.001284757,1.34E-05,0.365011529,0.11324074,0.328784499,0.013590036,1.3590036
